sae_grade_range,metric_grade_range,rolled_threads_Kf,cut_threads_Kf,fillet_Kf
0 to 2,3.6 to 5.8,2.2,2.8,2.1
4 to 8,6.6 to 10.9,3.0,3.8,2.3
