test_no,preload_Fi_kN
1,23.6
2,27.6
3,28.0
4,29.4
5,30.3
6,30.7
7,32.9
8,33.8
9,33.8
10,33.8
11,34.7
12,35.6
13,35.6
14,37.4
15,37.8
16,37.8
17,39.2
18,40.0
19,40.5
20,42.7
